datetime,temp,humidity,precip,precipprob,windspeed,city
2024-05-30,20.1,77.5,9.989,100.0,7.6,Mostar
2024-05-31,19.0,89.9,46.749,100.0,16.5,Mostar
2024-06-01,22.7,66.5,3.005,100.0,22.3,Mostar
2024-06-02,22.3,78.1,4.097,100.0,7.5,Mostar
2024-06-03,19.7,86.2,8.999,100.0,11.1,Mostar
2024-06-04,20.7,70.1,0.001,100.0,7.5,Mostar
2024-06-05,21.3,66.8,0.0,0.0,11.0,Mostar
2024-06-06,23.9,63.9,0.0,0.0,11.1,Mostar
2024-06-07,25.0,60.4,0.0,0.0,10.5,Mostar
2024-06-08,25.5,63.4,0.0,0.0,7.4,Mostar
2024-06-09,25.8,66.8,0.0,0.0,7.3,Mostar
2024-06-10,25.6,65.9,1.401,100.0,14.9,Mostar
2024-06-11,23.2,74.4,0.3,100.0,10.9,Mostar
2024-06-12,23.4,74.9,1.998,100.0,11.1,Mostar
2024-06-13,22.9,72.3,0.2,100.0,14.3,Mostar
2024-06-14,22.2,63.5,10.29,100.0,12.9,Mostar
2024-06-15,22.7,61.7,0.0,0.0,9.1,Mostar
2024-06-16,23.7,62.4,0.0,0.0,10.9,Mostar
2024-06-17,24.7,57.1,0.0,0.0,14.0,Mostar
2024-06-18,26.3,55.9,0.0,0.0,10.7,Mostar
2024-06-19,26.6,54.9,0.0,0.0,10.6,Mostar
2024-06-20,29.6,55.9,0.0,0.0,14.6,Mostar
2024-06-21,31.0,50.7,0.0,0.0,16.4,Mostar
2024-06-22,30.0,55.8,0.0,0.0,13.0,Mostar
2024-06-23,28.6,59.0,0.0,0.0,14.4,Mostar
2024-06-24,28.8,60.1,0.0,0.0,14.4,Mostar
2024-06-25,26.5,69.9,0.201,100.0,9.3,Mostar
2024-06-26,26.5,66.5,0.1,100.0,14.4,Mostar
2024-06-27,23.8,78.0,0.605,100.0,10.9,Mostar
2024-06-28,25.5,65.8,0.0,0.0,21.2,Mostar
2024-06-29,29.5,52.4,0.0,0.0,14.2,Mostar
2024-06-30,29.2,58.2,0.0,0.0,14.4,Mostar
2024-07-01,28.9,57.6,0.0,0.0,14.2,Mostar
2024-07-02,22.2,76.6,12.406,100.0,25.3,Mostar
2024-07-03,22.7,48.9,0.01,100.0,21.0,Mostar
2024-07-04,23.5,50.9,0.0,0.0,14.7,Mostar
2024-07-05,25.2,52.0,0.0,0.0,11.0,Mostar
2024-07-06,26.1,57.1,0.0,0.0,12.7,Mostar
2024-07-07,26.9,56.8,0.0,0.0,14.3,Mostar
2024-07-08,29.1,54.9,0.0,0.0,11.0,Mostar
2024-07-09,29.7,60.9,0.0,0.0,10.6,Mostar
2024-07-10,31.3,53.0,0.0,0.0,10.6,Mostar
2024-07-11,31.2,54.8,0.0,0.0,11.0,Mostar
2024-07-12,31.5,52.9,0.0,0.0,14.5,Mostar
2024-07-13,30.7,51.1,0.0,0.0,11.1,Mostar
2024-07-14,30.4,51.9,0.0,0.0,14.5,Mostar
2024-07-15,31.7,52.6,0.0,0.0,10.9,Mostar
2024-07-16,31.4,50.9,0.0,0.0,7.7,Mostar
2024-07-17,30.7,56.6,0.0,0.0,17.6,Mostar
2024-07-18,30.7,62.5,0.0,0.0,17.8,Mostar
2024-07-19,31.4,56.3,0.0,0.0,14.5,Mostar
2024-07-20,28.5,66.9,4.994,100.0,18.5,Mostar
2024-07-21,28.2,63.2,0.999,100.0,11.0,Mostar
2024-07-22,28.5,59.5,0.0,0.0,21.5,Mostar
2024-07-23,30.8,46.6,0.0,0.0,17.7,Mostar
2024-07-24,30.1,48.2,0.002,100.0,21.9,Mostar
2024-07-25,29.1,38.6,0.0,0.0,20.1,Mostar
2024-07-26,28.3,38.2,0.0,0.0,14.9,Mostar
2024-07-27,28.7,42.4,0.0,0.0,10.6,Mostar
2024-07-28,29.6,49.1,0.0,0.0,7.7,Mostar
2024-07-29,30.9,43.2,0.0,0.0,35.6,Mostar
2024-07-30,29.9,28.5,0.0,0.0,29.0,Mostar
2024-07-31,28.3,30.7,0.0,0.0,11.1,Mostar
2024-08-01,28.4,42.2,0.0,0.0,11.0,Mostar
2024-08-02,28.8,45.3,0.0,0.0,11.1,Mostar
2024-08-03,25.4,68.7,9.39,100.0,17.9,Mostar
2024-08-04,28.2,48.9,0.102,100.0,20.2,Mostar
